;susceptible;incubated;infected;vaccinated;removed;deceased;day
0;1945.0;15.0;10.0;30.0;0.0;0.0;0.0
1;1899.0;31.0;10.0;60.0;0.0;0.0;1.0
2;1864.0;36.0;10.0;90.0;0.0;0.0;2.0
3;1827.0;43.0;10.0;120.0;0.0;0.0;3.0
4;1795.0;45.0;10.0;150.0;0.0;0.0;4.0
5;1756.0;54.0;10.0;180.0;0.0;0.0;5.0
6;1720.0;59.0;11.0;210.0;0.0;0.0;6.0
7;1685.0;63.0;12.0;240.0;0.0;0.0;7.0
8;1649.0;68.0;12.0;270.0;0.0;1.0;8.0
9;1606.0;80.0;13.0;300.0;0.0;1.0;9.0
10;1572.0;76.0;18.0;300.0;30.0;4.0;10.0
11;1533.0;78.0;22.0;300.0;60.0;7.0;11.0
12;1486.0;92.0;23.0;300.0;90.0;9.0;12.0
13;1449.0;96.0;25.0;300.0;120.0;10.0;13.0
14;1409.0;98.0;33.0;300.0;150.0;10.0;14.0
15;1360.0;111.0;39.0;300.0;180.0;10.0;15.0
16;1292.0;144.0;44.0;300.0;210.0;10.0;16.0
17;1247.0;150.0;52.0;300.0;240.0;11.0;17.0
18;1196.0;164.0;58.0;300.0;271.0;11.0;18.0
19;1134.0;186.0;67.0;300.0;302.0;11.0;19.0
20;1071.0;212.0;68.0;300.0;332.0;17.0;20.0
21;1014.0;227.0;77.0;300.0;362.0;20.0;21.0
22;951.0;248.0;83.0;300.0;393.0;25.0;22.0
23;878.0;283.0;88.0;300.0;423.0;28.0;23.0
24;817.0;303.0;96.0;300.0;454.0;30.0;24.0
25;760.0;317.0;104.0;300.0;484.0;35.0;25.0
26;698.0;332.0;114.0;300.0;514.0;42.0;26.0
27;633.0;344.0;132.0;300.0;544.0;47.0;27.0
28;559.0;371.0;141.0;300.0;574.0;55.0;28.0
29;480.0;388.0;164.0;300.0;605.0;63.0;29.0
30;418.0;397.0;177.0;300.0;637.0;71.0;30.0
31;360.0;399.0;195.0;300.0;667.0;79.0;31.0
32;294.0;412.0;209.0;300.0;698.0;87.0;32.0
33;239.0;399.0;238.0;300.0;728.0;96.0;33.0
34;178.0;406.0;253.0;300.0;760.0;103.0;34.0
35;130.0;393.0;267.0;300.0;792.0;118.0;35.0
36;88.0;366.0;296.0;300.0;823.0;127.0;36.0
37;45.0;345.0;317.0;300.0;856.0;137.0;37.0
38;11.0;311.0;336.0;300.0;892.0;150.0;38.0
39;0.0;270.0;359.0;281.0;925.0;165.0;39.0
40;0.0;244.0;362.0;251.0;959.0;184.0;40.0
41;0.0;212.0;368.0;221.0;993.0;206.0;41.0
42;0.0;187.0;367.0;191.0;1027.0;228.0;42.0
43;0.0;153.0;372.0;161.0;1065.0;249.0;43.0
44;0.0;126.0;363.0;131.0;1096.0;284.0;44.0
45;0.0;99.0;360.0;101.0;1128.0;312.0;45.0
46;0.0;72.0;366.0;71.0;1162.0;329.0;46.0
47;0.0;56.0;349.0;41.0;1197.0;357.0;47.0
48;0.0;40.0;331.0;11.0;1230.0;388.0;48.0
49;0.0;30.0;300.0;0.0;1248.0;422.0;49.0
50;0.0;19.0;274.0;0.0;1249.0;458.0;50.0
51;0.0;15.0;248.0;0.0;1254.0;483.0;51.0
52;0.0;11.0;227.0;0.0;1259.0;503.0;52.0
53;0.0;7.0;191.0;0.0;1262.0;540.0;53.0
54;0.0;5.0;154.0;0.0;1269.0;572.0;54.0
55;0.0;1.0;139.0;0.0;1269.0;591.0;55.0
56;0.0;1.0;114.0;0.0;1274.0;611.0;56.0
57;0.0;0.0;84.0;0.0;1280.0;636.0;57.0
58;0.0;0.0;63.0;0.0;1282.0;655.0;58.0
59;0.0;0.0;54.0;0.0;1283.0;663.0;59.0
60;0.0;0.0;37.0;0.0;1287.0;676.0;60.0
61;0.0;0.0;27.0;0.0;1289.0;684.0;61.0
62;0.0;0.0;20.0;0.0;1290.0;690.0;62.0
63;0.0;0.0;16.0;0.0;1290.0;694.0;63.0
64;0.0;0.0;12.0;0.0;1292.0;696.0;64.0
65;0.0;0.0;8.0;0.0;1292.0;700.0;65.0
66;0.0;0.0;4.0;0.0;1293.0;703.0;66.0
67;0.0;0.0;1.0;0.0;1293.0;706.0;67.0
68;0.0;0.0;1.0;0.0;1293.0;706.0;68.0
69;0.0;0.0;1.0;0.0;1293.0;706.0;69.0
70;0.0;0.0;0.0;0.0;1293.0;707.0;70.0
71;0.0;0.0;0.0;0.0;1293.0;707.0;71.0
72;0.0;0.0;0.0;0.0;1293.0;707.0;72.0
73;0.0;0.0;0.0;0.0;1293.0;707.0;73.0
74;0.0;0.0;0.0;0.0;1293.0;707.0;74.0
75;0.0;0.0;0.0;0.0;1293.0;707.0;75.0
76;0.0;0.0;0.0;0.0;1293.0;707.0;76.0
77;0.0;0.0;0.0;0.0;1293.0;707.0;77.0
78;0.0;0.0;0.0;0.0;1293.0;707.0;78.0
79;0.0;0.0;0.0;0.0;1293.0;707.0;79.0
80;0.0;0.0;0.0;0.0;1293.0;707.0;80.0
81;0.0;0.0;0.0;0.0;1293.0;707.0;81.0
82;0.0;0.0;0.0;0.0;1293.0;707.0;82.0
83;0.0;0.0;0.0;0.0;1293.0;707.0;83.0
84;0.0;0.0;0.0;0.0;1293.0;707.0;84.0
85;0.0;0.0;0.0;0.0;1293.0;707.0;85.0
86;0.0;0.0;0.0;0.0;1293.0;707.0;86.0
87;0.0;0.0;0.0;0.0;1293.0;707.0;87.0
88;0.0;0.0;0.0;0.0;1293.0;707.0;88.0
89;0.0;0.0;0.0;0.0;1293.0;707.0;89.0
90;0.0;0.0;0.0;0.0;1293.0;707.0;90.0
91;0.0;0.0;0.0;0.0;1293.0;707.0;91.0
92;0.0;0.0;0.0;0.0;1293.0;707.0;92.0
93;0.0;0.0;0.0;0.0;1293.0;707.0;93.0
94;0.0;0.0;0.0;0.0;1293.0;707.0;94.0
95;0.0;0.0;0.0;0.0;1293.0;707.0;95.0
96;0.0;0.0;0.0;0.0;1293.0;707.0;96.0
97;0.0;0.0;0.0;0.0;1293.0;707.0;97.0
98;0.0;0.0;0.0;0.0;1293.0;707.0;98.0
99;0.0;0.0;0.0;0.0;1293.0;707.0;99.0
100;0.0;0.0;0.0;0.0;1293.0;707.0;100.0
101;0.0;0.0;0.0;0.0;1293.0;707.0;101.0
102;0.0;0.0;0.0;0.0;1293.0;707.0;102.0
103;0.0;0.0;0.0;0.0;1293.0;707.0;103.0
104;0.0;0.0;0.0;0.0;1293.0;707.0;104.0
105;0.0;0.0;0.0;0.0;1293.0;707.0;105.0
106;0.0;0.0;0.0;0.0;1293.0;707.0;106.0
107;0.0;0.0;0.0;0.0;1293.0;707.0;107.0
108;0.0;0.0;0.0;0.0;1293.0;707.0;108.0
109;0.0;0.0;0.0;0.0;1293.0;707.0;109.0
110;0.0;0.0;0.0;0.0;1293.0;707.0;110.0
111;0.0;0.0;0.0;0.0;1293.0;707.0;111.0
112;0.0;0.0;0.0;0.0;1293.0;707.0;112.0
113;0.0;0.0;0.0;0.0;1293.0;707.0;113.0
114;0.0;0.0;0.0;0.0;1293.0;707.0;114.0
115;0.0;0.0;0.0;0.0;1293.0;707.0;115.0
116;0.0;0.0;0.0;0.0;1293.0;707.0;116.0
117;0.0;0.0;0.0;0.0;1293.0;707.0;117.0
118;0.0;0.0;0.0;0.0;1293.0;707.0;118.0
119;0.0;0.0;0.0;0.0;1293.0;707.0;119.0
120;0.0;0.0;0.0;0.0;1293.0;707.0;120.0
121;0.0;0.0;0.0;0.0;1293.0;707.0;121.0
122;0.0;0.0;0.0;0.0;1293.0;707.0;122.0
123;0.0;0.0;0.0;0.0;1293.0;707.0;123.0
124;0.0;0.0;0.0;0.0;1293.0;707.0;124.0
125;0.0;0.0;0.0;0.0;1293.0;707.0;125.0
126;0.0;0.0;0.0;0.0;1293.0;707.0;126.0
127;0.0;0.0;0.0;0.0;1293.0;707.0;127.0
128;0.0;0.0;0.0;0.0;1293.0;707.0;128.0
129;0.0;0.0;0.0;0.0;1293.0;707.0;129.0
130;0.0;0.0;0.0;0.0;1293.0;707.0;130.0
131;0.0;0.0;0.0;0.0;1293.0;707.0;131.0
132;0.0;0.0;0.0;0.0;1293.0;707.0;132.0
133;0.0;0.0;0.0;0.0;1293.0;707.0;133.0
134;0.0;0.0;0.0;0.0;1293.0;707.0;134.0
135;0.0;0.0;0.0;0.0;1293.0;707.0;135.0
136;0.0;0.0;0.0;0.0;1293.0;707.0;136.0
137;0.0;0.0;0.0;0.0;1293.0;707.0;137.0
138;0.0;0.0;0.0;0.0;1293.0;707.0;138.0
139;0.0;0.0;0.0;0.0;1293.0;707.0;139.0
140;0.0;0.0;0.0;0.0;1293.0;707.0;140.0
141;0.0;0.0;0.0;0.0;1293.0;707.0;141.0
142;0.0;0.0;0.0;0.0;1293.0;707.0;142.0
143;0.0;0.0;0.0;0.0;1293.0;707.0;143.0
144;0.0;0.0;0.0;0.0;1293.0;707.0;144.0
145;0.0;0.0;0.0;0.0;1293.0;707.0;145.0
146;0.0;0.0;0.0;0.0;1293.0;707.0;146.0
147;0.0;0.0;0.0;0.0;1293.0;707.0;147.0
148;0.0;0.0;0.0;0.0;1293.0;707.0;148.0
149;0.0;0.0;0.0;0.0;1293.0;707.0;149.0
150;0.0;0.0;0.0;0.0;1293.0;707.0;150.0
151;0.0;0.0;0.0;0.0;1293.0;707.0;151.0
152;0.0;0.0;0.0;0.0;1293.0;707.0;152.0
153;0.0;0.0;0.0;0.0;1293.0;707.0;153.0
154;0.0;0.0;0.0;0.0;1293.0;707.0;154.0
155;0.0;0.0;0.0;0.0;1293.0;707.0;155.0
156;0.0;0.0;0.0;0.0;1293.0;707.0;156.0
157;0.0;0.0;0.0;0.0;1293.0;707.0;157.0
158;0.0;0.0;0.0;0.0;1293.0;707.0;158.0
159;0.0;0.0;0.0;0.0;1293.0;707.0;159.0
160;0.0;0.0;0.0;0.0;1293.0;707.0;160.0
161;0.0;0.0;0.0;0.0;1293.0;707.0;161.0
162;0.0;0.0;0.0;0.0;1293.0;707.0;162.0
163;0.0;0.0;0.0;0.0;1293.0;707.0;163.0
164;0.0;0.0;0.0;0.0;1293.0;707.0;164.0
165;0.0;0.0;0.0;0.0;1293.0;707.0;165.0
166;0.0;0.0;0.0;0.0;1293.0;707.0;166.0
167;0.0;0.0;0.0;0.0;1293.0;707.0;167.0
168;0.0;0.0;0.0;0.0;1293.0;707.0;168.0
169;0.0;0.0;0.0;0.0;1293.0;707.0;169.0
170;0.0;0.0;0.0;0.0;1293.0;707.0;170.0
171;0.0;0.0;0.0;0.0;1293.0;707.0;171.0
172;0.0;0.0;0.0;0.0;1293.0;707.0;172.0
173;0.0;0.0;0.0;0.0;1293.0;707.0;173.0
174;0.0;0.0;0.0;0.0;1293.0;707.0;174.0
175;0.0;0.0;0.0;0.0;1293.0;707.0;175.0
176;0.0;0.0;0.0;0.0;1293.0;707.0;176.0
177;0.0;0.0;0.0;0.0;1293.0;707.0;177.0
178;0.0;0.0;0.0;0.0;1293.0;707.0;178.0
179;0.0;0.0;0.0;0.0;1293.0;707.0;179.0
180;0.0;0.0;0.0;0.0;1293.0;707.0;180.0
181;0.0;0.0;0.0;0.0;1293.0;707.0;181.0
182;0.0;0.0;0.0;0.0;1293.0;707.0;182.0
183;0.0;0.0;0.0;0.0;1293.0;707.0;183.0
184;0.0;0.0;0.0;0.0;1293.0;707.0;184.0
185;0.0;0.0;0.0;0.0;1293.0;707.0;185.0
186;0.0;0.0;0.0;0.0;1293.0;707.0;186.0
187;0.0;0.0;0.0;0.0;1293.0;707.0;187.0
188;0.0;0.0;0.0;0.0;1293.0;707.0;188.0
189;0.0;0.0;0.0;0.0;1293.0;707.0;189.0
190;0.0;0.0;0.0;0.0;1293.0;707.0;190.0
191;0.0;0.0;0.0;0.0;1293.0;707.0;191.0
192;0.0;0.0;0.0;0.0;1293.0;707.0;192.0
193;0.0;0.0;0.0;0.0;1293.0;707.0;193.0
194;0.0;0.0;0.0;0.0;1293.0;707.0;194.0
195;0.0;0.0;0.0;0.0;1293.0;707.0;195.0
196;0.0;0.0;0.0;0.0;1293.0;707.0;196.0
197;0.0;0.0;0.0;0.0;1293.0;707.0;197.0
198;0.0;0.0;0.0;0.0;1293.0;707.0;198.0
199;0.0;0.0;0.0;0.0;1293.0;707.0;199.0
